Site,Date,Na_ion,K_ion,Mg_ion,Ca_ion,SO4_ion,NH4_ion,NO3_ion,Cl_ion,OC,EC,PM2.5_Mass_Concentration,Al,Fe,Na,Mg,K,Ca,Sr,Ba,Ti,Mn,Co,Ni,Cu,Zn,Mo,Cd,Sn,Sb,Tl,Pb,V,Cr,As,Y,Se,Zr,Ge,Rb,Cs,Ga,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,U
花蓮,26-Feb-19,0.32,0.10,0.03,0.05,3.15,1.43,1.28,0.43,3.14,0.16,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小港,26-Feb-19,0.34,0.12,0.04,0.10,6.23,5.99,12.69,0.95,5.79,1.26,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義,26-Feb-19,0.33,0.14,0.03,0.09,5.40,5.93,14.72,1.22,6.64,1.10,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
斗六,26-Feb-19,0.26,0.10,0.03,0.08,5.31,5.86,14.08,0.94,5.00,0.86,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
忠明,26-Feb-19,0.31,0.08,0.03,0.08,4.58,2.68,4.96,0.48,4.00,0.96,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
板橋,26-Feb-19,0.40,0.09,0.06,0.09,3.76,1.54,0.85,0.56,3.39,0.43,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花蓮,20-Feb-19,0.27,0.06,0.03,0.09,3.89,1.47,0.74,0.25,2.45,0.22,13,0.014753,0.020570,0.239141,0.032109,0.074471,0.114176,0.000911,0.002628,0.001474,0.000877,0.000023,0.000904,0.001088,0.004507,0.000149,0.000037,0.000271,0.000196,0.000068,0.002037,0.003835,0.001371,0.000435,0.000006,0.000458,0.000136,0.000020,0.000141,0.000007,0.000071,0.000026,0.000027,0.000001,0.000010,0.000001,0.000000,0.000002,0.000000,0.000001,0.000000,0.000000,0.000000,0.000001,0.000000,0.000004,0.000002
小港,20-Feb-19,0.41,0.12,0.03,0.06,2.46,0.99,0.62,0.48,1.96,0.86,12,0.032810,0.033930,0.358470,0.045834,0.126166,0.077467,0.001367,0.003541,0.002704,0.001976,0.000033,0.001595,0.002032,0.006144,0.000158,0.000091,0.001665,0.000268,0.000007,0.005431,0.009139,0.001806,0.000148,0.000010,0.000250,0.000097,0.000013,0.000231,0.000008,0.000089,0.000043,0.000039,0.000003,0.000016,0.000003,0.000001,0.000003,0.000000,0.000002,0.000001,0.000001,0.000000,0.000001,0.000000,0.000002,0.000002
嘉義,20-Feb-19,0.44,1.28,0.09,0.13,10.88,8.06,18.83,2.33,9.85,1.11,67,0.072720,0.071740,0.734548,0.103759,1.566715,0.038150,0.003997,0.015677,0.006732,0.019450,0.000284,0.007177,0.024221,0.057285,0.003613,0.003940,0.002448,0.002994,0.000078,0.021212,0.013160,0.006545,0.001525,0.000013,0.001746,0.000371,0.000109,0.001099,0.000059,0.000508,0.000039,0.000039,0.000002,0.000015,0.000003,0.000002,0.000003,0.000000,0.000001,0.000000,0.000001,0.000000,0.000001,0.000000,0.000007,0.000011
斗六,20-Feb-19,0.39,0.29,0.05,0.06,10.23,8.38,19.97,1.96,7.85,1.17,63,0.139307,0.350550,0.751721,0.106473,0.522462,0.147194,0.005027,0.014437,0.012482,0.020579,0.000348,0.011397,0.012767,0.087937,0.007766,0.000486,0.004282,0.001754,0.000078,0.022985,0.013905,0.014938,0.001316,0.000064,0.002643,0.000567,0.000133,0.000977,0.000067,0.000483,0.000175,0.000180,0.000011,0.000068,0.000009,0.000003,0.000014,0.000001,0.000007,0.000002,0.000005,0.000001,0.000004,0.000001,0.000014,0.000012
