鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
文山區,房地(土地+建物)+車位,臺北市文山區政大二街215巷1~30號,71.4,住,,,1080113,土地1建物1車位1,十一層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0920609,140.09,3,2,2,有,有,15000000,107074,坡道平面,0.0,0,含增建或未登記建物。;,RPXOMLLLLHOFFAA08CA
中正區,房地(土地+建物),臺北市中正區寧波西街91~120號,28.23,住,,,1080201,土地2建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0670201,134.12,3,2,2,有,有,26900000,200567,,0.0,0,,RPPPMLMLLHOFFAA47CA
文山區,房地(土地+建物)+車位,臺北市文山區秀明路二段118巷1~30號,15.38,商,,,1080120,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0900802,133.64000000000001,3,2,2,有,有,21900000,163873,坡道機械,21.04,0,含增建或未登記建物。;,RPVPMLMLLHOFFAA08CA
文山區,房地(土地+建物),臺北市文山區景福街61~90號,32.76,住,,,1080218,土地1建物1車位0,十四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0880119,144.9,3,2,2,有,有,22250000,153554,,0.0,0,含增建或未登記建物。;,RPWPMLMLLHOFFAA18CA
文山區,房地(土地+建物),臺北市文山區萬安街44巷1~30號,48.0,住,,,1080226,土地3建物1車位0,二層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0720728,82.35,2,2,1,有,有,11460000,139162,,0.0,0,含增建或未登記建物。;,RPOQMLMLLHOFFAA47CA
文山區,房地(土地+建物),臺北市文山區興隆路二段203巷31~60號,21.97,住,,,1080306,土地1建物1車位0,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880510,87.8,2,2,1,有,有,14800000,168565,,0.0,0,,RPPOMLRLLHOFFAA87CA
文山區,房地(土地+建物)+車位,臺北市文山區景華街181~210號,19.72,住,,,1080213,土地1建物1車位1,六層,十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼骨鋼筋混凝土造,1050930,179.19,3,2,2,有,有,31000000,173001,坡道平面,41.98,0,,RPPNMLSLLHOFFAA87CA
文山區,房地(土地+建物),臺北市文山區興隆路四段29巷4弄1~30號,22.9,住,,,1080303,土地2建物1車位0,二層,十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0871202,45.57,1,1,1,有,有,7650000,167874,,0.0,0,含增建或未登記建物。;,RPRNMLSLLHOFFAA08CA
文山區,房地(土地+建物)+車位,臺北市文山區辛亥路四段151~180號,37.76,住,,,1080211,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0981116,207.12,4,2,2,有,有,35550000,171640,坡道平面,34.58,0,,RPSPMLLJMHOFFAA57CA
